Name,star,num,type,image,Address,Local_Address,Internet_Address,Call_Number,Rating,Sun,Mon,Tues,Wedn,Thur,Fri,Sat,keyword,lat,lng,cluster,avgTime,exp
신사이바시스지 상점가,40.0,4908.0,인근 지역,https://media-cdn.tripadvisor.com/media/photo-s/0b/84/8a/c6/beautiful-evening-scenes.jpg,2 Chome-2-22 Shinsaibashisuji Chuo Ward Osaka 542-0085 일본,〒542-0085 大阪府大阪市中央区心斎橋筋２丁目２−22,https://www.shinsaibashi.or.jp/,+81 6-6211-1114,4.3,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,오전 11:00~오후 8:00,"['카페', '산책', '음식', '먹거리', '음식점', '쇼핑몰', '강', '백화점', '기념품', '사진', '쇼핑', '옷', '시장', '골목', '드럭스토어', '옛날']",34.671176489966,135.501348125357,3,60,이 활기찬 쇼핑 지구에는 공항 배달 서비스를 제공하는 다양한 고급 면세점이 있습니다.
신세카이 혼도리 상점가,40.0,1525.0,즐길거리 & 랜드마크,https://media-cdn.tripadvisor.com/media/photo-s/09/c3/76/e8/shinsekai.jpg,일본 〒556-0002 Osaka Naniwa Ward Ebisuhigashi 2 Chome−5−1 ニューマルコ,〒556-0002 大阪府大阪市浪速区恵美須東２丁目５−1 ニューマルコ,shinsekai.jp,MG24+J9 오사카시 일본 오사카부,4.0,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['산책', '공원', '전통', '동물원', '스파', '배', '음식', '음식점', '게임', '기념품', '술', '사진', '쇼핑', '전망대', '시장', '옛날']",34.6518572208755,135.505977654191,11,120,"1912년에 조성된 분주하고 다채로운 지역으로, 103m 높이의 타워, 레스토랑, 기념품 가게가 있습니다."
신우메다 시티,40.0,459.0,건축물,https://media-cdn.tripadvisor.com/media/photo-s/0c/b8/c0/b9/vista1.jpg,1 Chome-1-88 Oyodonaka Kita Ward Osaka 531-0076 일본,〒531-0076 大阪府大阪市北区大淀中１丁目１−88,http://www.skybldg.co.jp/,+81 6-6440-3899,4.1,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,"['카페', '산책', '공원', '음식', '음식점', '야경', '휴식', '사진', '쇼핑', '전망대', '시장', '무료']",34.7052168347321,135.490129311864,0,90,"우메다 스카이빌딩(공중정원 전망대)이 있는 '신 우메다 시티'의 종합 안내소. 시설 안내는 물론, 오사카 관광에 대한 상담도 해드립니다."
쓰텐카쿠,35.0,1838.0,건축물,https://media-cdn.tripadvisor.com/media/photo-s/16/2c/75/75/photo0jpg.jpg,1 Chome-18-6 Ebisuhigashi Naniwa Ward Osaka 556-0002 일본,〒556-0002 大阪府大阪市浪速区恵美須東１丁目１８−6,tsutenkaku.co.jp,+81 6-6641-9555,4.0,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['무료', '공원', '동물원', '음식', '음식점', '게임', '야경', '기념품', '사진', '역사', '전망대', '먹거리', '골목', '옛날']",34.6527021639954,135.50626288118,11,30,네온 조명으로 유명한 이 랜드마크는 대중에게 개방된 전망대를 갖추고 있습니다.
아베노 하루카스,40.0,1792.0,즐길거리 & 랜드마크,https://media-cdn.tripadvisor.com/media/photo-s/0e/d4/e8/fd/caption.jpg,1 Chome-1-43 Abenosuji Abeno Ward Osaka 545-6016 일본,〒545-6016 大阪府大阪市阿倍野区阿倍野筋１丁目１−43,https://www.abenoharukas-300.jp/,+81 6-6621-0300,4.1,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,"['카페', '체험', '음식', '쇼핑몰', '음식점', '백화점', '야경', '사진', '쇼핑', '전망대', '무료']",34.6462325048317,135.513500384873,11,60,"오사카에서 가장 높은 건물로 전망대, 백화점, 미술관, 호텔이 있습니다."
아키바 카트 오사카,50.0,751.0,시티 투어,https://media-cdn.tripadvisor.com/media/photo-s/13/fa/df/87/nice-face.jpg,3 Chome-3-9 Nipponbashi Naniwa Ward Osaka 556-0005 일본,〒556-0005 大阪府大阪市浪速区日本橋３丁目３−9,http://osakakart.com/,+81 90-3821-0330,4.9,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['체험', '카트', '성', '강', '야경', '사진', '옷', '무료']",34.6898785419206,135.468253746561,14,60,오사카 아키바 카트Akiba Kart Osaka in Namba카트를 타고 오사카 도심을 달린다!국제면허가 있으시다면 아키바 카트 투어를이용해보시는걸 강력 추천합니다!
에비스 다리,40.0,630.0,브리지,https://media-cdn.tripadvisor.com/media/photo-s/0e/d0/db/3d/caption.jpg,1 Chome Dotonbori Chuo Ward Osaka 542-0071 일본,〒542-0071 大阪府大阪市中央区道頓堀１丁目,https://www.city.osaka.lg.jp/kensetsu/page/0000021695.html,,4.1,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['산책', '배', '음식', '강', '야경', '기념품', '사진', '쇼핑', '옛날']",34.6692111798643,135.501278938851,3,3,번화한 쇼핑 지역으로 연결되는 보행자 전용 다리로 유명한 글리코상 광고판이 보입니다.
오사카 과학기술관,,,전문 박물관,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjExMDdfMTkw%2FMDAxNjY3NzcwNzM2NDEy.EPY8DjUwZh0tKxorQgiZfnFHSUzGye9B_hmwjFWPLQ8g.1jaC8dnFq6vTeVigobUVWO8USlPpxFq65CDj5yXhJf8g.JPEG.keys2flower%2FIMG_7024.jpg&type=a340,1 Chome-8-4 Utsubohonmachi Nishi Ward Osaka 550-0004 일본,〒550-0004 大阪府大阪市西区靱本町１丁目８−4,ostec.or.jp,+81 6-6441-0915,3.7,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,"['어린이', '체험', '전시회', '과학관', '박물관', '무료']",34.6866168680728,135.49634808444,0,60,깔끔한 과학 기술 박물관으로 어린이를 위한 다양한 전시가 열립니다.
오사카 국제공항,,,기타,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA0MTdfMTAx%2FMDAxNTg3MDkxMzAyMzc4.SwtHWG4hcQ4aLhrHvMfiDQ2ibE_YwFeVUKeXnDu_SMsg.9VI7v-VBDRM-BQX5SQTxkpq77LHaJAhnl_CxE25bwl8g.JPEG.heejung0340%2FIMG_1475.JPG&type=a340,3 Chome-555 Hotarugaike Nishimachi Toyonaka Osaka 560-0036 일본,〒560-0036 大阪府豊中市螢池西町３丁目555,osaka-airport.co.jp,+81 6-6856-6781,4.9,운행정보 없음,운행정보 없음,운행정보 없음,운행정보 없음,운행정보 없음,운행정보 없음,운행정보 없음,,34.786479690034,135.43771585235,Nan,0,일본 오사카부와 효고현에 걸쳐 있는 국내선 전용 공항. 터미널이 있는 효고현 이타미시의 이름에서 따와 '이타미 공항'이라 불린다.
오사카 부 사키시마청사 전망대,40.0,156.0,전망대 & 타워,https://media-cdn.tripadvisor.com/media/photo-s/08/16/e5/28/caption.jpg,일본 〒559-0034 Osaka Suminoe Ward Nankokita 1 Chome−14−16 咲洲庁舎,〒559-0034 大阪府大阪市住之江区南港北１丁目１４−16 咲洲庁舎,http://sakishima-observatory.com/,+81 6-6615-6055,4.3,오전 11:00~오후 10:00,휴무일,오전 11:00~오후 10:00,오전 11:00~오후 10:00,오전 11:00~오후 10:00,오전 11:00~오후 10:00,오전 11:00~오후 10:00,"['배', '관람차', '실내', '온천', '야경', '바다', '사진', '전망대', '항구', '무료']",34.6383672808074,135.414906963707,5,45,"코스모타워, WTC, 오사카 월드 트레이드 센터라고도 불리는 · 오사카부 사키시마 청사의 최상층에 있는 전망대 입니다. "
오사카 성,40.0,7920.0,성,https://media-cdn.tripadvisor.com/media/photo-s/14/19/ad/ef/osaka-castle.jpg,1-1 Osakajo Chuo Ward Osaka 540-0002 일본,〒540-0002 大阪府大阪市中央区大阪城１−1,osakacastle.net,+81 6-6941-3044,4.4,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,"['무료', '그림', '산책', '공원', '체험', '배', '성', '신사', '기념품', '사진', '역사', '전망대', '실내', '박물관', '옛날']",34.6873417231585,135.525848815556,9,20,1597년에 지어진 이후 복원된 성으로 정원과 다양한 전시물을 갖춘 박물관이 있습니다.
오사카 성 공원,,,공원,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEwMTlfMTU3%2FMDAxNjY2MTgzNTUzNTQz.gl3otE2CTUe-2q17UC5dHVpHzUXIPPECm4qF_ndcTKcg.0TfPpXpZHh8LO0tDGuAOFa7YKLtj-YxKL1iouOV18-4g.JPEG.uneven08%2F2775.JPG&type=a340,1-1 Osakajo Chuo Ward Osaka 540-0002 일본,〒540-0002 大阪府大阪市中央区大阪城１−1,osakacastlepark.jp,+81 6-6755-4146,4.3,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['카페', '무료', '산책', '공원', '배', '성', '신사', '야경', '기념품', '휴식', '사진', '역사', '전망대', '박물관', '전통']",34.6867065368935,135.526213595952,9,20,"벚꽃, 운동장, 야외극장 등과 더불어 정원이 있는 광활한 녹지 공간입니다."
오사카 성 천수각,,,역사적인 장소,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEwMjRfMjgx%2FMDAxNjY2NjE4ODQ4NTk2.ey7qjXGh6AvNna6gWUCjY24QZCLCN90ATmRrVfsN-sog.AY09tVh1SYRBlIGA3xvQfpUw2c2eSClURmataaJ9mCcg.JPEG.yjy8856%2FScreenshot_20221024_213504.jpg&type=a340,1-1 Osakajo Chuo Ward Osaka 540-0002 일본,〒540-0002 大阪府大阪市中央区大阪城１−1,osakacastle.net,+81 6-6941-3044,4.4,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,"['산책', '공원', '체험', '배', '성', '기념품', '사진', '역사', '전망대', '박물관', '무료']",34.6875181629228,135.525848815556,9,20,오사카성 단지에 우뚝 솟아 있는 인상적인 다층탑으로 금박 세공으로 장식했으며 박물관이 있습니다.
오사카 수상버스 아쿠아라이너,40.0,150.0,페리,https://media-cdn.tripadvisor.com/media/photo-s/0f/52/28/90/caption.jpg,2 Osakajo Chuo Ward Osaka 540-0002 일본,〒540-0002 大阪府大阪市中央区大阪城２,suijo-bus.osaka,+81 570-035-551,4.2,오전 10:00~오후 4:00,오전 10:00~오후 4:00,오전 10:00~오후 4:00,오전 10:00~오후 4:00,오전 10:00~오후 4:00,오전 10:00~오후 4:00,오전 10:00~오후 4:00,"['카페', '산책', '공원', '체험', '선물', '배', '성', '강', '휴식', '사진', '역사', '실내', '무료']",34.6896929557146,135.533087383028,9,40,28 오사카 수상버스 아쿠아 라이너 無料. 물의 도시・오사카를 강 위에서 감상하는 수상 버스. 오사카성이나 나카노시마 등의 관광 명소를 약 40분간 크루즈.
오사카 스테이션 시티,40.0,485.0,백화점,https://media-cdn.tripadvisor.com/media/photo-s/18/b4/08/78/osc.jpg,3 Chome-1-3 Umeda Kita Ward Osaka 530-0001 일본,〒530-0001 大阪府大阪市北区梅田３丁目１−3,osakastationcity.com,+81 6-6458-0212,3.9,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['카페', '무료', '산책', '음식', '쇼핑몰', '음식점', '백화점', '야경', '광장', '기념품', '휴식', '사진', '쇼핑', '옛날']",34.7025222248288,135.495934087006,0,90,"오사카 스테이션시티. 쇼핑, 엔터테인먼트, 레스토랑...이곳에만 오면 하루종일 즐겁게 지낼 수 있는 최신의 멋진 명소!"
오사카 시립 주택 박물관,40.0,833.0,전문 박물관,https://media-cdn.tripadvisor.com/media/photo-s/05/e5/15/6d/osaka-museum-of-housing.jpg,일본 〒530-0041 Osaka Kita Ward Tenjinbashi 6 Chome−4−20 住まい情報センタービル 8階,〒530-0041 大阪府大阪市北区天神橋６丁目４−20 住まい情報センタービル 8階,osaka-angenet.jp,+81 6-6242-1170,4.1,오전 10:00~오후 5:00,휴무일,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,"['무료', '체험', '전통', '박물관', '실내', '온천', '유카타', '기념품', '사진', '역사', '옷', '시장', '기모노', '옛날']",34.7105081441209,135.511284681182,13,90,과거 오사카의 삶을 엿볼 수 있는 건물과 거리를 재구성한 모형이 있는 박물관입니다.
오사카 역사 박물관,40.0,601.0,역사박물관,https://media-cdn.tripadvisor.com/media/photo-s/0c/23/e0/62/caption.jpg,4 Chome-1-32 Otemae Chuo Ward Osaka 540-0008 일본,〒540-0008 大阪府大阪市中央区大手前４丁目１−32,http://www.mus-his.city.osaka.jp/,+81 6-6946-5728,4.1,오전 9:30~오후 5:00,오전 9:30~오후 5:00,휴무일,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,"['어린이', '그림', '체험', '공원', '전시회', '성', '게임', '사진', '역사', '박물관', '무료']",34.6829846171552,135.520786767687,9,45,고대부터 현재까지의 오사카 역사를 살펴볼 수 있는 현대적인 박물관입니다.
오사카 이쿠노 코리아타운,40.0,423.0,즐길거리 & 랜드마크,https://media-cdn.tripadvisor.com/media/photo-s/14/c6/cb/d7/img-0355-largejpg.jpg,4 Chome-5-１５付近 Momodani Ikuno Ward Osaka 544-0034 일본,〒544-0034 大阪府大阪市生野区桃谷４丁目５−１５付近,https://osaka-koreatown.com/,+81 6-6712-7150,3.9,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,오전 10:00~오후 6:00,"['카페', '산책', '공원', '배', '음식', '음식점', '기념품', '사진', '쇼핑', '시장', '먹거리', '옛날']",34.660759995169,135.537357737004,9,45,"한식당, 쇼핑 명소, 길거리 음식으로 유명한 활기찬 도심 지역입니다."
오사카 컵라면박물관,45.0,683.0,전문 박물관,https://media-cdn.tripadvisor.com/media/photo-s/0f/a5/c5/02/the-place.jpg,8-25 Masumicho Ikeda Osaka 563-0041 일본,〒563-0041 大阪府池田市満寿美町８−25,https://www.cupnoodles-museum.jp/ja/osaka_ikeda/,+81 72-752-3484,4.3,오전 9:30~오후 4:30,오전 9:30~오후 4:30,휴무일,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,"['어린이', '그림', '체험', '선물', '기념품', '역사', '컵라면', '박물관', '무료']",34.8182404933637,135.426712325363,4,90,라멘의 역사와 문화를 전시하는 이색적인 박물관으로 공장을 관람하고 시식을 해볼 수 있습니다.
오사카 텐만구 신사,40.0,373.0,종교적인 장소,https://media-cdn.tripadvisor.com/media/photo-s/19/89/0f/7c/caption.jpg,2 Chome-1-8 Tenjinbashi Kita Ward Osaka 530-0041 일본,〒530-0041 大阪府大阪市北区天神橋２丁目１−8,https://osakatemmangu.or.jp/,+81 6-6353-0025,4.2,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,오전 9:00~오후 5:00,"['산책', '인형', '꽃', '쇼핑', '신사', '휴식', '사진', '역사', '옛날']",34.6962692782994,135.512644867687,13,30,7월에 일본의 가장 큰 축제 중 하나인 텐진 마쓰리가 열리는 10세기 신사입니다.
오사카시 중앙공회당,40.0,387.0,역사적인 장소 즐길거리 & 랜드마크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/22/98/70/osaka-city-central-hall.jpg?w=1100&h=500&s=1,일본 〒530-0005 Osaka Kita Ward Nakanoshima 1 Chome−1−27 大阪市中央公会堂 B1F,〒530-0005 大阪府大阪市北区中之島１丁目１−27 大阪市中央公会堂 B1F,osaka-chuokokaido.jp,+81 6-6208-2002,4.2,오전 9:30~오후 9:30,오전 9:30~오후 9:30,오전 9:30~오후 9:30,오전 9:30~오후 9:30,오전 9:30~오후 9:30,오전 9:30~오후 9:30,오전 9:30~오후 9:30,"['카페', '무료', '산책', '공원', '역사', '콘서트', '사진', '옛날']",34.6937601847187,135.503998127204,0,30,"신고전주의 양식으로 복원된 1913년에 지어진 공회당으로 행사, 콘서트, 강의가 열립니다."
오사카시립 나가이 식물원,,,공원,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA4MTJfOTIg%2FMDAxNTM0MDgxMjQ5Mzk3.KcQrrV92rRr19Qm2rJJQFC8FzNzU-pfi0o0zcmNbIUEg.YeByztfI7jL88AgiBdeNNTCyfhn3b1SmkmtdfI8UpcIg.JPEG.pandom128%2F1533797026_b.jpg&type=a340,1-23 Nagaikoen Higashisumiyoshi Ward Osaka 546-0034 일본,〒546-0034 大阪府大阪市東住吉区長居公園１−23,botanical-garden.nagai-park.jp,+81 6-6696-7117,4.2,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,"['카페', '산책', '공원', '꽃', '식물원', '광장', '휴식', '사진', '자전거', '박물관', '무료']",34.6114592701738,135.522646800918,2,120,오사카 시립 나가이식물원大阪市立長居植物園약 1200종류의 식물을 관리하고 있는오사카의 식물원.평소에 식물에 관심이 많거나 힐링하고 싶으신분들에게 추천합니다.
요시모토 난바그랜드카게쓰 극장,45.0,577.0,시어터,https://media-cdn.tripadvisor.com/media/photo-s/05/b5/d2/da/caption.jpg,11-6 Nanbasennichimae Chuo Ward Osaka 542-0075 일본,〒542-0075 大阪府大阪市中央区難波千日前１１−6,http://www.yoshimoto.co.jp/ngk,+81 6-6641-0888,4.3,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,"['극장', '인형', '꽃', '선물', '배', '음식', '음식점', '기념품', '휴식', '사진', '공연', '옛날']",34.6651810090473,135.503687783027,3,120,"난바 오카게츠키 극장은 토, 토, 요시모토 신희극 등을 공개적으로 공연합니다. NGK라고 합니다."
우메다 공중정원,,,공원,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20160525_212%2Ftojls_14641523831265REAE_JPEG%2F%25BF%25EC%25B8%25DE%25B4%25D915.JPG&type=a340,일본 〒531-6039 Osaka Kita Ward Oyodonaka 1 Chome−1−88 梅田スカイビル,〒531-6039 大阪府大阪市北区大淀中１丁目１−88 梅田スカイビル,skybldg.co.jp,+81 6-6440-3855,4.3,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,오전 9:30~오후 10:00,"['카페', '관람차', '야경', '기념품', '전망대', '사진', '옷', '실내', '실외', '무료']",34.7055135546452,135.490546625358,0,30,"탁 트인 도시 전망을 감상할 수 있는 현대적인 실내외 전망대로 식당, 카페, 선물 가게가 있습니다."
우메다 스카이빌딩,40.0,3023.0,건축물,https://media-cdn.tripadvisor.com/media/photo-s/09/7b/c8/e8/floating-garden.jpg,1 Chome-1-88 Oyodonaka Kita Ward Osaka 531-6023 일본,〒531-6023 大阪府大阪市北区大淀中１丁目１−88,skybldg.co.jp,+81 6-6440-3899,4.2,오전 9:30~오후 10:30,오전 9:30~오후 10:30,오전 9:30~오후 10:30,오전 9:30~오후 10:30,오전 9:30~오후 10:30,오전 9:30~오후 10:30,오전 9:30~오후 10:30,"['카페', '음식', '관람차', '강', '야경', '기념품', '전망대', '사진', '옷', '실내', '무료']",34.7054635744263,135.489674154193,0,30,루프톱 정원 전망대와 연결되어 있는 고층 건물로 도시 전망을 즐길 수 있는 레스토랑과 라운지가 있습니다.
우쓰보 공원,40.0,240.0,시어터,https://media-cdn.tripadvisor.com/media/photo-s/16/4c/00/ab/caption.jpg,Utsubohonmachi Nishi Ward Osaka 550-0004 일본,〒550-0004 大阪府大阪市西区靱本町,http://www.city.osaka.lg.jp/nishi/page/0000057760.html,+81 6-6941-1144,4.1,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['놀이기구', '카페', '어린이', '산책', '공원', '꽃', '음식점', '강', '광장', '휴식', '사진', '옛날']",34.6853022066184,135.493812640698,0,60,"장미 정원, 테니스 센터, 운동장, 식당이 있는 직사각형 모양의 휴양 공원입니다."
유니버셜 스튜디오 재팬,40.0,10770.0,놀이공원 & 테마파크,https://media-cdn.tripadvisor.com/media/photo-s/22/33/49/48/super-nintendo-world.jpg,2 Chome-1-33 Sakurajima Konohana Ward Osaka 554-0031 일본,〒554-0031 大阪府大阪市此花区桜島２丁目１−33,usj.co.jp,+81 570-200-606,4.5,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,"['놀이기구', '체험', '공원', '어트랙션', '음식', '음식점', '게임', '기념품', '사진', '퍼레이드', '공연']",34.6656537565988,135.432316738851,5,480,이 광대한 테마파크는 인기 있는 미국 영화를 테마로 한 놀이기구 및 라이브 엔터테인먼트를 제공합니다.
일본민가취락박물관,45.0,89.0,역사박물관,https://media-cdn.tripadvisor.com/media/photo-s/07/d9/c9/96/open-air-museum-of-old.jpg,1-2 Hattoriryokuchi Toyonaka Osaka 561-0873 일본,〒561-0873 大阪府豊中市服部緑地１−2,https://www.occh.or.jp/minka/,+81 6-6862-3137,4.2,오전 9:30~오후 5:00,휴무일,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,오전 9:30~오후 5:00,"['무료', '산책', '공원', '체험', '전통', '사진', '역사', '박물관', '옛날']",34.7796875768179,135.487172023515,10,120,일본 각지 사람들의 생활 모습을 현재에 전하는 민가 취락 박물관. 기본 정보. 도요나카시 핫토리 료쿠치 공원 일각에 있는 일본 최초의 야외 박물관. 
조폐박물관,45.0,542.0,공공기관 건물,https://media-cdn.tripadvisor.com/media/photo-s/0f/03/4c/e9/caption.jpg,일본 〒530-0043 Osaka Kita Ward Tenma 1 Chome−1−79 造幣博物館,〒530-0043 大阪府大阪市北区天満１丁目１−79 造幣博物館,https://www.mint.go.jp/enjoy/plant-osaka/plant_visit_museum_h.html,+81 6-6351-5361,4.1,오전 9:00~오후 4:45,오전 9:00~오후 4:45,오전 9:00~오후 4:45,오전 9:00~오후 4:45,오전 9:00~오후 4:45,오전 9:00~오후 4:45,오전 9:00~오후 4:45,"['산책', '체험', '꽃', '음식', '기념품', '휴식', '사진', '역사', '박물관', '무료']",34.6960662457048,135.521635049797,13,30,화폐 및 다양한 전시물이 있는 오사카 조폐박물관. 오사카 조폐박물관은 외관상 일본 건물이라기보다는 서양식에 가깝습니다.
천연 노천온천 스파 스미노에,45.0,90.0,스파,https://media-cdn.tripadvisor.com/media/photo-s/11/34/3c/db/photo0jpg.jpg,1 Chome-1-82 Izumi Suminoe Ward Osaka 559-0023 일본,〒559-0023 大阪府大阪市住之江区泉１丁目１−82,http://www.spasuminoe.jp/,+81 6-6685-1126,4.1,오전 10:00~오전 2:00,오전 10:00~오전 2:00,오전 10:00~오전 2:00,오전 10:00~오전 2:00,오전 10:00~오전 2:00,오전 10:00~오전 2:00,오전 10:00~오전 2:00,"['목욕탕', '공원', '노천', '스파', '음식', '온천', '사우나', '휴식', '옷', '실내', '실외', '무료']",34.6105507671784,135.468658396519,12,120,실내외 수영장을 갖춘 대중 온천탕으로 치료사의 반사 요법과 마사지를 받을 수 있습니다.
천연온천 나니와노유,40.0,144.0,온천 리조트,https://media-cdn.tripadvisor.com/media/photo-s/0e/ee/f1/1b/top.jpg,일본 〒531-0061 Osaka Kita Ward Nagaranishi 1 Chome−7−31 なにわの湯,〒531-0061 大阪府大阪市北区長柄西１丁目７−31 なにわの湯,https://www.naniwanoyu.com/,+81 6-6882-4126,4.1,오전 8:00~오전 1:00,오전 10:00~오전 1:00,오전 10:00~오전 1:00,오전 10:00~오전 1:00,오전 10:00~오전 1:00,오전 10:00~오전 1:00,오전 8:00~오전 1:00,"['노천', '스파', '음식', '온천', '사우나', '사진', '목욕탕', '실내', '박물관', '실외', '무료']",34.7047491759498,135.510441796523,13,120,천연 온천수를 활용한 다양한 시설과 마사지 서비스를 갖춘 도심 온천입니다.
키즈프라자 오사카,45.0,371.0,어린이 박물관,https://media-cdn.tripadvisor.com/media/photo-s/05/d2/52/06/caption.jpg,2 Chome-1-7 Ogimachi Kita Ward Osaka 530-0025 일본,〒530-0025 大阪府大阪市北区扇町２丁目１−7,https://www.kidsplaza.or.jp/,+81 6-6311-6601,4.3,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,오전 9:30~오후 4:30,"['놀이기구', '어린이', '체험', '공원', '음식', '게임', '휴식', '쇼핑', '실내', '과학관', '박물관', '무료']",34.7150966633503,135.513546867688,13,120,독특하고 현대적인 어린이 과학 및 교육 박물관으로 체험형 학습실과 공방이 있습니다.
타카무라 와인 & 커피 로스터스,45.0,38.0,특산물 & 기념품 가게,https://media-cdn.tripadvisor.com/media/photo-s/13/3f/7c/78/photo0jpg.jpg,2 Chome-2-18 Edobori Nishi Ward Osaka 550-0002 일본,〒550-0002 大阪府大阪市西区江戸堀２丁目２−18,http://takamuranet.com/,+81 6-6443-3519,4.4,오전 11:00~오후 7:30,오전 11:00~오후 7:30,오전 11:00~오후 7:30,휴무일,오전 11:00~오후 7:30,오전 11:00~오후 7:30,오전 11:00~오후 7:30,"['카페', '선물', '음식', '술', '휴식', '산', '쇼핑', '무료']",34.6874505908283,135.491062081181,0,45,트렌디하고 쾌적한 분위기에서 다양한 와인과 매장에서 로스팅한 카페인 브루 커피를 즐길 수 있습니다.
